StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q_RecaptchaScore,C_1,E_1_1,E_2,E_3,LLM_G_1,1_LLM_S_1,1_LLM_S_2,1_LLM_S_3,1_LLM_S_4_Id,1_LLM_S_4_Name,1_LLM_S_4_Size,1_LLM_S_4_Type,1_LLM_S_5_Id,1_LLM_S_5_Name,1_LLM_S_5_Size,1_LLM_S_5_Type,1_LLM_S_6_Id,1_LLM_S_6_Name,1_LLM_S_6_Size,1_LLM_S_6_Type,1_LLM_S_7,1_LLM_S_7_1,1_LLM_S_7_2_Id,1_LLM_S_7_2_Name,1_LLM_S_7_2_Size,1_LLM_S_7_2_Type,1_LLM_S_8,1_LLM_S_9_2,1_LLM_S_9_1_Id,1_LLM_S_9_1_Name,1_LLM_S_9_1_Size,1_LLM_S_9_1_Type,2_LLM_S_1,2_LLM_S_2,2_LLM_S_3,2_LLM_S_4_Id,2_LLM_S_4_Name,2_LLM_S_4_Size,2_LLM_S_4_Type,2_LLM_S_5_Id,2_LLM_S_5_Name,2_LLM_S_5_Size,2_LLM_S_5_Type,2_LLM_S_6_Id,2_LLM_S_6_Name,2_LLM_S_6_Size,2_LLM_S_6_Type,2_LLM_S_7,2_LLM_S_7_1,2_LLM_S_7_2_Id,2_LLM_S_7_2_Name,2_LLM_S_7_2_Size,2_LLM_S_7_2_Type,2_LLM_S_8,2_LLM_S_9_2,2_LLM_S_9_1_Id,2_LLM_S_9_1_Name,2_LLM_S_9_1_Size,2_LLM_S_9_1_Type,3_LLM_S_1,3_LLM_S_2,3_LLM_S_3,3_LLM_S_4_Id,3_LLM_S_4_Name,3_LLM_S_4_Size,3_LLM_S_4_Type,3_LLM_S_5_Id,3_LLM_S_5_Name,3_LLM_S_5_Size,3_LLM_S_5_Type,3_LLM_S_6_Id,3_LLM_S_6_Name,3_LLM_S_6_Size,3_LLM_S_6_Type,3_LLM_S_7,3_LLM_S_7_1,3_LLM_S_7_2_Id,3_LLM_S_7_2_Name,3_LLM_S_7_2_Size,3_LLM_S_7_2_Type,3_LLM_S_8,3_LLM_S_9_2,3_LLM_S_9_1_Id,3_LLM_S_9_1_Name,3_LLM_S_9_1_Size,3_LLM_S_9_1_Type,4_LLM_S_1,4_LLM_S_2,4_LLM_S_3,4_LLM_S_4_Id,4_LLM_S_4_Name,4_LLM_S_4_Size,4_LLM_S_4_Type,4_LLM_S_5_Id,4_LLM_S_5_Name,4_LLM_S_5_Size,4_LLM_S_5_Type,4_LLM_S_6_Id,4_LLM_S_6_Name,4_LLM_S_6_Size,4_LLM_S_6_Type,4_LLM_S_7,4_LLM_S_7_1,4_LLM_S_7_2_Id,4_LLM_S_7_2_Name,4_LLM_S_7_2_Size,4_LLM_S_7_2_Type,4_LLM_S_8,4_LLM_S_9_2,4_LLM_S_9_1_Id,4_LLM_S_9_1_Name,4_LLM_S_9_1_Size,4_LLM_S_9_1_Type,5_LLM_S_1,5_LLM_S_2,5_LLM_S_3,5_LLM_S_4_Id,5_LLM_S_4_Name,5_LLM_S_4_Size,5_LLM_S_4_Type,5_LLM_S_5_Id,5_LLM_S_5_Name,5_LLM_S_5_Size,5_LLM_S_5_Type,5_LLM_S_6_Id,5_LLM_S_6_Name,5_LLM_S_6_Size,5_LLM_S_6_Type,5_LLM_S_7,5_LLM_S_7_1,5_LLM_S_7_2_Id,5_LLM_S_7_2_Name,5_LLM_S_7_2_Size,5_LLM_S_7_2_Type,5_LLM_S_8,5_LLM_S_9_2,5_LLM_S_9_1_Id,5_LLM_S_9_1_Name,5_LLM_S_9_1_Size,5_LLM_S_9_1_Type,LLM_S_10,LLM_S_11_1,LLM_S_12_1,LLM_S_12_2,LLM_S_12_3,LLM_S_12_4,LLM_S_12_5,LLM_S_12_6,LLM_S_12_7,LLM_S_12_8,LLM_S_14,PG_G_3_1_1,PG_G_3_1_2,PG_G_3_1_3,PG_G_3_1_4,PG_G_3_1_5,PG_G_3_1_6,PG_G_3_2_1,PG_G_3_2_2,PG_G_3_2_3,PG_G_3_2_4,PG_G_3_2_5,PG_G_3_3_1,PG_G_3_3_2,PG_G_3_3_3,PG_G_3_3_4,PG_G_3_3_5,PG_G_3_3_6,PG_G_3_4_1,PG_G_3_4_2,PG_G_3_4_3,PG_G_2_1,PG_G_4,PG_G_3_5,PG_G_6,PG_G_7,PG_G_8,PG_G_9,PG_P_1,PG_P_1_3_TEXT,Q106,PG_P_2,PG_UC_1,PG_UC_3_1,PG_UC_3_2,PG_UC_3_3,PG_UC_3_4,PG_UC_3_5,PG_UC_3_6,PMH_1,PMH_1_7_TEXT,PMH_3_1,PMH_3_2,PMH_3_3,PMH_3_4,PMH_3_5,PMH_3_6,PMH_3_7,PMH_3_8,PMH_3_9,NT_1,NT_1_5_TEXT,NT_2_1,NT_2_2,NT_2_3,NT_2_4,NT_2_5,NT_2_6,Dem_1,Dem_1_3_TEXT,Q103,Q103_7_TEXT,Logistics_1,Logistics_2
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Q_RecaptchaScore,Do you consent to the statement listed above?,What is your age? - Age,Have you ever used a Large Language Model (LLM) while coding?,"Would you be willing to share at least one instance of a coding session with an LLM (e.g., ChatGPT, Claude, Cursor)?

(We will provide instructions on how to find and share the link in a later section)",How many chat sessions in which you used an LLM to code would you like to upload? (Maximum: 5 sessions),1 - Please select the type of LLM you used for the session you are uploading:,"1 - Notice: If you are on an Iphone, the following instructions may not apply as the sharing options might be intergrated into your phone's native sharing interface. 



In order to share a link to a past ChatGPT session, follow the following set of instructions:



How to share a ChatGPT chat session: 

 

	Log into your account and navigate to the side bar with all the past chat sessions you have had.   
	Hover over the chat session you want to share until three dots appear next to the session's header name, then click on the three dots.
	In the pop up menu, select the “Share” option until another menu appears.  
	In the new menu, select the “Create Link” option, then “Copy Link” and paste the copied link in the field below:","1 - In order to share a link to a past Claude chat session, follow the following set of instructions:



How to share a Claude chat session:

 

	Log into your Claude account and navigate to the chat session that you want to share.
	In the upper right coner of the chat, click on the ""Share"" button. 
	In the pop-up menu, select the ""Share"" option, then opt in for the ""Public Access"" option.   
	Hit “Copy Link” and paste the copied link in the field below:","Unfortunately, as of current, there is no way to fully document every code suggestion that you have accepted in Cursor's standard code editor.



However, if you have had a chat session with Cursor's AI assistant in the side bar, there is an indirect way to share the interaction as demonstrated below: 

 

How to share a Cursor chat session:

 

	Open Cursor and navigate to the file with the chat session that you want to share.
	If your chat session didn't automatically open on the side: 
	
		Open the command palette by hitting Ctrl + Shift + P on Windows or  Command + Shift + P  on Mac.  
		Select the ""Cursor: Open Chat"" menu option. 
	
	
	If your chat sidebar has already been opened, divert your eyes to the bottom right corner of the chat sidebar and locate the ""Past chats"" toggle menu. 
	Select the chat session that you want to share.
	Click on the three dots button on the upper right corner of the chat side bar.
	Select the 'Export Chat' option in the pop-up menu. 
	Rename the markdown file according to your preference, ensuring that it ends with "".md"" i.e. ""Example.md"". 
	Save and upload the file in the field below: - 1 - Unfortunately, as of current, there is no way to fully document every code suggestion that you have accepted in Cursor's standard code editor.



However, if you have had a chat session with Cursor's AI assistant in the side bar, there is an indirect way to share the interaction as demonstrated below: 

 

How to share a Cursor chat session:

 

	Open Cursor and navigate to the file with the chat session that you want to share.
	If your chat session didn't automatically open on the side: 
	
		Open the command palette by hitting Ctrl + Shift + P on Windows or  Command + Shift + P  on Mac.  
		Select the ""Cursor: Open Chat"" menu option. 
	
	
	If your chat sidebar has already been opened, divert your eyes to the bottom right corner of the chat sidebar and locate the ""Past chats"" toggle menu. 
	Select the chat session that you want to share.
	Click on the three dots button on the upper right corner of the chat side bar.
	Select the 'Export Chat' option in the pop-up menu. 
	Rename the markdown file according to your preference, ensuring that it ends with "".md"" i.e. ""Example.md"". 
	Save and upload the file in the field below: - Id","Unfortunately, as of current, there is no way to fully document every code suggestion that you have accepted in Cursor's standard code editor.



However, if you have had a chat session with Cursor's AI assistant in the side bar, there is an indirect way to share the interaction as demonstrated below: 

 

How to share a Cursor chat session:

 

	Open Cursor and navigate to the file with the chat session that you want to share.
	If your chat session didn't automatically open on the side: 
	
		Open the command palette by hitting Ctrl + Shift + P on Windows or  Command + Shift + P  on Mac.  
		Select the ""Cursor: Open Chat"" menu option. 
	
	
	If your chat sidebar has already been opened, divert your eyes to the bottom right corner of the chat sidebar and locate the ""Past chats"" toggle menu. 
	Select the chat session that you want to share.
	Click on the three dots button on the upper right corner of the chat side bar.
	Select the 'Export Chat' option in the pop-up menu. 
	Rename the markdown file according to your preference, ensuring that it ends with "".md"" i.e. ""Example.md"". 
	Save and upload the file in the field below: - 1 - Unfortunately, as of current, there is no way to fully document every code suggestion that you have accepted in Cursor's standard code editor.



However, if you have had a chat session with Cursor's AI assistant in the side bar, there is an indirect way to share the interaction as demonstrated below: 

 

How to share a Cursor chat session:

 

	Open Cursor and navigate to the file with the chat session that you want to share.
	If your chat session didn't automatically open on the side: 
	
		Open the command palette by hitting Ctrl + Shift + P on Windows or  Command + Shift + P  on Mac.  
		Select the ""Cursor: Open Chat"" menu option. 
	
	
	If your chat sidebar has already been opened, divert your eyes to the bottom right corner of the chat sidebar and locate the ""Past chats"" toggle menu. 
	Select the chat session that you want to share.
	Click on the three dots button on the upper right corner of the chat side bar.
	Select the 'Export Chat' option in the pop-up menu. 
	Rename the markdown file according to your preference, ensuring that it ends with "".md"" i.e. ""Example.md"". 
	Save and upload the file in the field below: - Name","Unfortunately, as of current, there is no way to fully document every code suggestion that you have accepted in Cursor's standard code editor.



However, if you have had a chat session with Cursor's AI assistant in the side bar, there is an indirect way to share the interaction as demonstrated below: 

 

How to share a Cursor chat session:

 

	Open Cursor and navigate to the file with the chat session that you want to share.
	If your chat session didn't automatically open on the side: 
	
		Open the command palette by hitting Ctrl + Shift + P on Windows or  Command + Shift + P  on Mac.  
